suite,scenario,demand,controller_code,controller,disturbance,network_profile,n,travel_time_s_mean,travel_time_s_std,travel_time_s_min,travel_time_s_max,travel_time_s_ci95_low,travel_time_s_ci95_high,waiting_time_s_mean,waiting_time_s_std,waiting_time_s_min,waiting_time_s_max,waiting_time_s_ci95_low,waiting_time_s_ci95_high,delay_s_mean,delay_s_std,delay_s_min,delay_s_max,delay_s_ci95_low,delay_s_ci95_high,average_speed_m_s_mean,average_speed_m_s_std,average_speed_m_s_min,average_speed_m_s_max,average_speed_m_s_ci95_low,average_speed_m_s_ci95_high,avg_queue_vehicles_mean,avg_queue_vehicles_std,avg_queue_vehicles_min,avg_queue_vehicles_max,avg_queue_vehicles_ci95_low,avg_queue_vehicles_ci95_high,max_queue_vehicles_mean,max_queue_vehicles_std,max_queue_vehicles_min,max_queue_vehicles_max,max_queue_vehicles_ci95_low,max_queue_vehicles_ci95_high,p95_queue_vehicles_mean,p95_queue_vehicles_std,p95_queue_vehicles_min,p95_queue_vehicles_max,p95_queue_vehicles_ci95_low,p95_queue_vehicles_ci95_high,avg_queue_m_mean,avg_queue_m_std,avg_queue_m_min,avg_queue_m_max,avg_queue_m_ci95_low,avg_queue_m_ci95_high,max_queue_m_mean,max_queue_m_std,max_queue_m_min,max_queue_m_max,max_queue_m_ci95_low,max_queue_m_ci95_high,throughput_veh_h_mean,throughput_veh_h_std,throughput_veh_h_min,throughput_veh_h_max,throughput_veh_h_ci95_low,throughput_veh_h_ci95_high,completed_trips_mean,completed_trips_std,completed_trips_min,completed_trips_max,completed_trips_ci95_low,completed_trips_ci95_high,unfinished_trips_mean,unfinished_trips_std,unfinished_trips_min,unfinished_trips_max,unfinished_trips_ci95_low,unfinished_trips_ci95_high,fuel_mg_mean,fuel_mg_std,fuel_mg_min,fuel_mg_max,fuel_mg_ci95_low,fuel_mg_ci95_high,co2_mg_mean,co2_mg_std,co2_mg_min,co2_mg_max,co2_mg_ci95_low,co2_mg_ci95_high,nox_mg_mean,nox_mg_std,nox_mg_min,nox_mg_max,nox_mg_ci95_low,nox_mg_ci95_high,collisions_mean,collisions_std,collisions_min,collisions_max,collisions_ci95_low,collisions_ci95_high,teleports_mean,teleports_std,teleports_min,teleports_max,teleports_ci95_low,teleports_ci95_high,emergency_braking_mean,emergency_braking_std,emergency_braking_min,emergency_braking_max,emergency_braking_ci95_low,emergency_braking_ci95_high,unsafe_command_rejections_mean,unsafe_command_rejections_std,unsafe_command_rejections_min,unsafe_command_rejections_max,unsafe_command_rejections_ci95_low,unsafe_command_rejections_ci95_high,signal_actions_modified_mean,signal_actions_modified_std,signal_actions_modified_min,signal_actions_modified_max,signal_actions_modified_ci95_low,signal_actions_modified_ci95_high,signal_actions_rejected_mean,signal_actions_rejected_std,signal_actions_rejected_min,signal_actions_rejected_max,signal_actions_rejected_ci95_low,signal_actions_rejected_ci95_high,communication_drop_count_mean,communication_drop_count_std,communication_drop_count_min,communication_drop_count_max,communication_drop_count_ci95_low,communication_drop_count_ci95_high,runtime_s_mean,runtime_s_std,runtime_s_min,runtime_s_max,runtime_s_ci95_low,runtime_s_ci95_high,simulation_realtime_factor_mean,simulation_realtime_factor_std,simulation_realtime_factor_min,simulation_realtime_factor_max,simulation_realtime_factor_ci95_low,simulation_realtime_factor_ci95_high
pilot,xiongan_rongdong_20,Medium,B0,fixed-time,none,N0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59767099157316,0.0,8.59767099157316,8.59767099157316,8.59767099157316,8.59767099157316,3.46,0.0,3.46,3.46,3.46,3.46,7.0,0.0,7.0,7.0,7.0,7.0,6.549999999999997,0.0,6.549999999999997,6.549999999999997,6.549999999999997,6.549999999999997,13.116,0.0,13.116,13.116,13.116,13.116,38.7,0.0,38.7,38.7,38.7,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,576557.56154775,0.0,576557.56154775,576557.56154775,576557.56154775,576557.56154775,1782661.0779730882,0.0,1782661.0779730882,1782661.0779730882,1782661.0779730882,1782661.0779730882,714.9942591403984,0.0,714.9942591403984,714.9942591403984,714.9942591403984,714.9942591403984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,55.92090250000001,0.0,55.92090250000001,55.92090250000001,55.92090250000001,55.92090250000001,1.1562713863834955,0.0,1.1562713863834955,1.1562713863834955,1.1562713863834955,1.1562713863834955
pilot,xiongan_rongdong_20,Medium,B3,coordinated-max-pressure,none,N0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.594646515245872,0.0,8.594646515245872,8.594646515245872,8.594646515245872,8.594646515245872,3.48,0.0,3.48,3.48,3.48,3.48,7.0,0.0,7.0,7.0,7.0,7.0,6.549999999999997,0.0,6.549999999999997,6.549999999999997,6.549999999999997,6.549999999999997,13.265999999999998,0.0,13.265999999999998,13.265999999999998,13.265999999999998,13.265999999999998,38.7,0.0,38.7,38.7,38.7,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,576704.4739900231,0.0,576704.4739900231,576704.4739900231,576704.4739900231,576704.4739900231,1783114.1523893094,0.0,1783114.1523893094,1783114.1523893094,1783114.1523893094,1783114.1523893094,715.2394560884978,0.0,715.2394560884978,715.2394560884978,715.2394560884978,715.2394560884978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,602.0,602.0,602.0,602.0,93.0,0.0,93.0,93.0,93.0,93.0,602.0,0.0,602.0,602.0,602.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42308310000044,0.0,56.42308310000044,56.42308310000044,56.42308310000044,56.42308310000044,1.1457958232404344,0.0,1.1457958232404344,1.1457958232404344,1.1457958232404344,1.1457958232404344
rapid,xiongan_rongdong_20,Medium,B0,fixed-time,none,N0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.559798445858132,0.140121161648829,8.314018354892557,8.668129779508586,8.38581504405229,8.733781847663973,3.508,0.15139352694220465,3.3,3.72,3.320020108034773,3.695979891965227,7.4,0.5477225575051661,7.0,8.0,6.719912619341745,8.080087380658256,7.219999999999999,0.7353570561298789,6.549999999999997,8.0,6.306933617578424,8.133066382421575,13.632,1.1243558155672964,12.318,15.366,12.235927862639057,15.028072137360942,41.7,4.107919181288746,38.7,46.2,36.599344645063084,46.80065535493692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,576951.6312775529,6238.807853249032,568732.3560382887,585463.4035078782,569205.1281744627,584698.1343806431,1784009.8769340732,19397.94644380688,1758449.134096891,1810475.1868881835,1759924.1451957135,1808095.6086724328,724.9009493433475,10.346933151872864,713.8638123917367,738.203919926892,712.053534956846,737.7483637298491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,51.29690078000058,3.845648760982818,48.12831090000145,55.6782048999994,46.5218971637513,56.071904396249856,1.2344365044009287,0.08512250456476773,1.1374419830654818,1.3009070400882485,1.128742955045921,1.3401300537559364
rapid,xiongan_rongdong_20,Medium,B1,actuated-control,none,N0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.559798445858132,0.140121161648829,8.314018354892557,8.668129779508586,8.38581504405229,8.733781847663973,3.508,0.15139352694220465,3.3,3.72,3.320020108034773,3.695979891965227,7.4,0.5477225575051661,7.0,8.0,6.719912619341745,8.080087380658256,7.219999999999999,0.7353570561298789,6.549999999999997,8.0,6.306933617578424,8.133066382421575,13.632,1.1243558155672964,12.318,15.366,12.235927862639057,15.028072137360942,41.7,4.107919181288746,38.7,46.2,36.599344645063084,46.80065535493692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,576951.6312775529,6238.807853249032,568732.3560382887,585463.4035078782,569205.1281744627,584698.1343806431,1784009.8769340732,19397.94644380688,1758449.134096891,1810475.1868881835,1759924.1451957135,1808095.6086724328,724.9009493433475,10.346933151872864,713.8638123917367,738.203919926892,712.053534956846,737.7483637298491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.6,1.140175425099138,638.0,641.0,638.1842852230177,641.0157147769823,2.0,0.0,2.0,2.0,2.0,2.0,639.6,1.140175425099138,638.0,641.0,638.1842852230177,641.0157147769823,0.0,0.0,0.0,0.0,0.0,0.0,48.71939104000012,1.5380218570370392,47.22608279999986,50.586554100000285,46.80968467166673,50.62909740833351,1.2873589713787434,0.04166833061751228,1.2381042964986504,1.3261575625438107,1.2356209053857268,1.3390970373717601
rapid,xiongan_rongdong_20,Medium,B2,max-pressure,none,N0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.559798445858132,0.140121161648829,8.314018354892557,8.668129779508586,8.38581504405229,8.733781847663973,3.508,0.15139352694220465,3.3,3.72,3.320020108034773,3.695979891965227,7.4,0.5477225575051661,7.0,8.0,6.719912619341745,8.080087380658256,7.219999999999999,0.7353570561298789,6.549999999999997,8.0,6.306933617578424,8.133066382421575,13.632,1.1243558155672964,12.318,15.366,12.235927862639057,15.028072137360942,41.7,4.107919181288746,38.7,46.2,36.599344645063084,46.80065535493692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,576951.6312775529,6238.807853249032,568732.3560382887,585463.4035078782,569205.1281744627,584698.1343806431,1784009.8769340732,19397.94644380688,1758449.134096891,1810475.1868881835,1759924.1451957135,1808095.6086724328,724.9009493433475,10.346933151872864,713.8638123917367,738.203919926892,712.053534956846,737.7483637298491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.4,5.856620185738529,153.0,169.0,153.12804556421503,167.67195443578498,1.6,0.8944271909999159,0.0,2.0,0.48942195792088294,2.710578042079117,160.4,5.856620185738529,153.0,169.0,153.12804556421503,167.67195443578498,0.0,0.0,0.0,0.0,0.0,0.0,51.47057761999967,0.9592267431989312,50.631839100000434,52.5046113999997,50.27954030685531,52.66161493314404,1.2149279252972167,0.02495729646061942,1.1868831771837225,1.2354967787273383,1.1839393487895673,1.2459165018048661
rapid,xiongan_rongdong_20,Medium,B3,coordinated-max-pressure,none,N0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59953010065457,0.029064674279275032,8.568701603021855,8.647452111985071,8.563441540982476,8.635618660326665,3.468,0.09121403400793111,3.32,3.56,3.354742817841418,3.581257182158582,7.4,0.5477225575051661,7.0,8.0,6.719912619341745,8.080087380658256,7.219999999999999,0.7353570561298789,6.549999999999997,8.0,6.306933617578424,8.133066382421575,13.331999999999999,0.5540992690845208,12.468,13.992,12.64399488614673,14.020005113853268,41.7,4.107919181288746,38.7,46.2,36.599344645063084,46.80065535493692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,19.0,19.0,19.0,578049.2579467474,5906.800671256221,570825.3505421429,586482.4161773324,570714.9962086827,585383.519684812,1787395.6185165998,18377.923412184828,1764905.4033269444,1813618.3158295855,1764576.4126539438,1810214.8243792558,726.1718084720753,10.260432106601476,715.2394560884978,739.4376961775558,713.4317993192942,738.9118176248564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,602.0,602.0,602.0,602.0,93.0,0.0,93.0,93.0,93.0,93.0,602.0,0.0,602.0,602.0,602.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,62.90276296000047,8.74608352532511,51.29797900000085,71.8302046000008,52.04306592132122,73.76245999867972,1.0444602105163097,0.14421895645836974,0.8917493009376439,1.2228028221359801,0.8653887244234357,1.2235316966091836
